TOPIC,YOUTUBE LINK,PLAYLISTS
Introduction to Jupyter Notebooks,https://youtu.be/6wR5mDycDww,https://www.youtube.com/watch?v=6wR5mDycDww&list=TLGGfMBPWxfP1IkyNjAzMjAyMA
Lecture 1.1: Course Overview,https://youtu.be/tIQz3ldACvM,https://www.youtube.com/watch?v=Jl5fNPkEcDI&list=TLGGxbQhoqZ93r0yNjAzMjAyMA
Lecture 1.2: Why Data Science?,https://youtu.be/BKgdDLrSC5s,https://www.youtube.com/watch?v=IzL70hSdQS0&list=TLGGmy--2ZvUWo8yNjAzMjAyMA
Lecture 1.3: Programming,https://youtu.be/PFgBCG_evEg,https://www.youtube.com/watch?v=R-08BgOxtsI&list=TLGGXlZ5SFwIUlYyNjAzMjAyMA
Lecture 1.4: Demo: Little Women,https://youtu.be/Yt-hzH_1u_A,
Lecture 1.5: Demo: Visualizations (1),https://youtu.be/N2Sq_2HMWFw,
Lecture 1.6 Demo: Visualizations (2),https://youtu.be/GeZ3ugunMn4,
Lecture 2.1: Questions,https://youtu.be/mKT6tJTwwL0,
Lecture 2.2: Association,https://youtu.be/esDCoUrT0t8,
Lecture 2.3: Causation,https://youtu.be/Vu23eyOBrnE,
Lecture 2.4: Confounding,https://youtu.be/zQKuNDEkKTM,
Lecture 3.1: Python,https://youtu.be/zEN_zpTGjsY,
Lecture 3.2: Names,https://youtu.be/-b1peYEib_A,
Lecture 3.3: Call Expressions,https://youtu.be/fLNavUrZXSc,
Lecture 3.4: Tables,https://youtu.be/3KcQVMZI-Ro,
Lecture 3.5: Select,https://youtu.be/_ojpEI8z5rI,
Lecture 3.6: Sorting,https://youtu.be/RGy3BM9nNW8,
Lecture 3.7: Bar Charts,https://youtu.be/vl8CJVoZpsA,
Lecture 4.1: Arithmetic,https://youtu.be/hWY_LGmzwkU,
Lecture 4.2: Arithmetic Question,https://youtu.be/F3KVaWfrwn0,
Lecture 4.3: Exponential Growth,https://youtu.be/MHRQ1UGKRyI,
Lecture 4.4: Arrays,https://youtu.be/q6cQBGP9wsQ,
Lecture 4.5: Columns,https://youtu.be/n8R4pZQDl_8,
Lecture 5.1 Creating Tables,https://youtu.be/Obg7GqjxZ-Q,
Lecture 5.2: Strings,https://youtu.be/NJQr6a-j8b0,
Lecture 5.3: Strings Exercise,https://youtu.be/rMIcCFnloiE,
Lecture 5.4: Exercise Answer,https://youtu.be/L_UtEQX7QpY,
Lecture 5.5: Minard's Map,https://youtu.be/dcuI0D9gXdQ,
Lecture 5.6: Minard's Map Code,https://youtu.be/AtlV0r24uy4,
Lecture 5.7: Lists,https://youtu.be/KOcIKkXQvl0,
Lecture 5.8: Take,https://youtu.be/TlHeF21OSAc,
Lecture 5.9: Where,https://youtu.be/xCk4CxHL2ec,
Lecture 6.1: Census,https://youtu.be/b29OrPn5ofw,
Lecture 6.2: Column Arithmetic,https://youtu.be/4SLry5hYcmE,
Lecture 6.3: Accessing Values,https://youtu.be/EOrAk4r9kck,
Lecture 6.4: Males and Females,https://youtu.be/SAJavz58uHk,
Lecture 7.1 Line Graphs,https://youtu.be/pcEadlLnFBw,
Lecture 7.2: Example 1,https://youtu.be/5-NEr5Pnybk,
Lecture 7.3: Scatter Plots,https://youtu.be/6mPOvbubJSM,
Lecture 7.4: Example 2,https://youtu.be/WxrsPBNklks,
Lecture 7.5: How to Choose,https://youtu.be/CQIc1pjkyEM,
Lecture 7.6: Types of Data,https://youtu.be/EHRg9ojcVRQ,
Lecture 7.7: Distributions,https://youtu.be/ME3LjCrvxik,
Lecture 7.8: Example 3,https://youtu.be/hMvuoBFWC1o,
Lecture 8.1: Area Principle,https://youtu.be/qEYz6D0MKq8,
Lecture 8.2: Binning,https://youtu.be/kREoWbByNZs,
Lecture 8.3: Example 1,https://youtu.be/vz5VLqrw-tA,
